sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.0002,2.0000000000000003e-06,7.0,8.16326530612245e-05,0.9769672315154053,230327.6848459468
10000000.0,0.0002,2.0000000000000003e-06,7.0,8.571428571428573e-05,0.9778762633612482,221237.36638751777
10000000.0,0.0002,2.0000000000000003e-06,7.0,8.979591836734695e-05,0.9787267397032308,212732.60296769236
10000000.0,0.0002,2.0000000000000003e-06,7.0,9.387755102040817e-05,0.9795232027346403,204767.9726535967
10000000.0,0.0002,2.0000000000000003e-06,7.0,9.79591836734694e-05,0.9802698362317661,197301.6376823389
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00010204081632653063,0.9809704858170443,190295.1418295573
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00010612244897959185,0.9816286811897919,183713.18810208148
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00011020408163265307,0.9822476589547513,177523.41045248698
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001142857142857143,0.9828303851814191,171696.14818580926
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00011836734693877552,0.9833795771594116,166204.228405884
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00012244897959183676,0.9838977240356181,161022.7596438185
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00012653061224489798,0.9843871061652496,156128.93834750398
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001306122448979592,0.9848498131055836,151501.86894416384
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00013469387755102042,0.9852877602444071,147122.39755592882
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00013877551020408165,0.9857027040956279,142972.9590437212
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00014285714285714287,0.986096256319562,139037.43680438006
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001469387755102041,0.9864698965399319,135301.0346006811
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001510204081632653,0.9868249840370416,131750.15962958446
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00015510204081632656,0.9871627683992504,128372.31600749565
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00015918367346938778,0.9874843992143773,125156.00785622749
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.000163265306122449,0.9877909348801361,122090.6511986386
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00016734693877551023,0.9880833506089332,119166.49391066848
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00017142857142857145,0.9883625456978472,116374.54302152795
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00017551020408163267,0.9886293501297734,113706.49870226624
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001795918367346939,0.9888845305667532,111154.69433246816
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00018367346938775512,0.989128795791632,108712.04208367957
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00018775510204081634,0.9893628016494654,106371.9835053456
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.00019183673469387756,0.9895871555356275,104128.44464372518
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0001959183673469388,0.9898024204733662,101975.79526633804
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0002,0.9900091188196556,99908.81180344413
